"UmaName","BDay"
"特别周","05/02"
"无声铃鹿","05/01"
"东海帝皇","04/20"
"丸善斯基","05/19"
"富士奇迹","04/15"
"小栗帽","03/27"
"黄金船","03/06"
"伏特加","04/04"
"大和赤骥","05/13"
"大树快车","03/23"
"草上飞","02/18"
"菱亚马逊","03/26"
"目白麦昆","04/03"
"神鹰","03/17"
"好歌剧","03/13"
"成田白仁","05/03"
"鲁道夫象征","03/13"
"气槽","04/06"
"爱丽数码","05/15"
"青云天空","04/26"
"玉藻十字","05/23"
"美妙姿势","01/27"
"琵琶晨光","03/10"
"摩耶重炮","03/24"
"曼城茶座","03/05"
"美浦波旁","04/25"
"目白赖恩","04/11"
"菱曙","02/27"
"雪之美人","03/10"
"米浴","03/05"
"艾尼斯风神","04/10"
"爱丽速子","04/13"
"爱慕织姬","03/12"
"稻荷一","05/07"
"胜利奖券","03/21"
"空中神宫","02/26"
"荣进闪耀","03/27"
"真机伶","03/31"
"川上公主","06/05"
"黄金城","04/16"
"樱花进王","04/14"
"采珠","04/16"
"新光风","04/14"
"超级小海湾","05/27"
"醒目飞鹰","04/04"
"荒漠英雄","03/27"
"东瀛佐敦","02/04"
"中山庆典","04/05"
"成田大进","06/10"
"西野花","04/19"
"春乌拉拉","02/27"
"青竹回忆","05/14"
"微光飞驹","02/08"
"美丽周日","05/31"
"待兼福来","05/22"
"千明代表","04/07"
"名将怒涛","03/25"
"目白多伯","05/06"
"优秀素质","04/16"
"帝王光辉","04/28"
"待兼诗歌剧","05/07"
"生野狄杜斯","04/16"
"目白善信","03/21"
"大拓太阳神","04/10"
"双涡轮","04/13"
"里见光钻","01/30"
"北部玄驹","03/10"
"樱花千代王","02/19"
"天狼星象征","03/26"
"目白阿尔丹","03/28"
"八重无敌","04/11"
"鹤丸刚志","04/19"
"目白光明","04/19"
"樱花桂冠","05/08"
"成田路","04/04"
"也文摄辉","05/27"
"狂怒乐章","05/01"
"创升","03/09"
"希望之城","04/22"
"北方飞翔","04/12"
"吉兆","01/21"
"谷水琴蕾","05/04"
"第一红宝石","04/15"
"目白高峰","03/28"
"真弓快车","04/13"
"里见皇冠","04/16"
"高尚骏逸","03/06"
"极峰","04/02"
"强击","04/23"
"烈焰快驹","04/14"
"凯斯奇迹","03/16"
"森林宝穴","04/16"
"信念","05/08"
"莫名其妙","04/26"
"爱如往昔","05/09"
"小林历奇","04/11"
"北港火山","03/27"
"奇锐骏","04/15"
"万籁争鸣","04/22"
"莱斯莱斯","02/24"
"葛城王牌","05/05"
"新宇宙","04/24"
"菱钻奇宝","05/16"
"跳舞城","06/04"
"大鸣大放","04/24"
"莱茵力量","03/07"
"西沙里奥","03/10"
"空中救世主","02/26"
"房一潘多拉","04/23"
"迷人景致","05/08"
"黄金巨匠","04/28"
"贵妇人","03/14"
"凯旋芭蕾","04/07"
"梦之旅","02/24"
"金镇之光","05/12"
"多旺达","04/02"
"吹波糖","05/11"
"超常骏骥","04/05"
"杏目","11/26"
"放声欢呼","03/26"
"唯独爱你","03/25"
"创世驹","04/18"
"黄金旅程","04/28"
"神业","03/27"
"比萨胜驹","04/14"
"测试小马娘A","05/28"
"测试小马娘B","05/28"
"测试小马娘C","05/28"
